     湛江 北海 凭祥 澳门 香港 深圳 南宁 肇庆 广州 汕头 个旧 畹町 柳州 厦门 韶关  昆明    龙岩 桂林 大理 郴州 赣州 福州  都匀    三明 攀枝花 六盘水 贵阳 衡阳 怀化 萍乡 遵义 西昌 温州 长沙 鹰潭 椒江 南昌 宜宾 常德 金华 日喀则 景德镇 岳阳 重庆 拉萨  九江    黄山 宁波 黄石 杭州 沙市 安庆 武汉  成都    宜昌 上海 芜湖 绵阳 无锡 合肥 襄樊 南京 信阳 扬州 十堰  蚌埠    南阳 汉中 徐州 西安 宝鸡 天水 连云港 洛阳 郑州 开封 运城 济宁 兰州  青岛    临汾 安阳 长治 格尔木  延安     西宁 邯郸 济南 潍坊 和田 荣成 德令哈 烟台 太原 青铜峡  石家庄    榆林 银川 保定 大连 张掖 天津 喀什 唐山 北京 秦皇岛 丹东 大同   敦煌    玉门 包头 营口 张家口 呼和浩特 承德  锦州    鞍山 阿克苏 沈阳  通化    哈密 图们 四平 二连浩特  乌鲁木齐    长春 锡林浩特 牡丹江 鸡西 白城 哈尔滨 塔城 佳木斯 齐齐哈尔 同江 阿勒泰 海拉尔 满洲里  黑河   
椒江 1386.0613 1474.6682 1643.6323 1070.389 1014.9154 1005.6622 1460.5099 1093.9021 1023.7073 758.9325 1917.3679 2380.313 1288.1063 572.7164 888.734 1891.2359 593.6027 1176.9752 2123.9095 893.5239 716.7203 358.1054 1398.4794 460.8187 1954.5016 1651.2994 1474.8759 894.5946 1128.1907 752.2183 1424.9732 1878.2706 104.7112 832.3269 429.6052 0.0 544.356 1637.1798 949.2518 180.1661 3157.1522 419.7553 811.5663 1448.9637 2939.0181 540.5697 322.7754 133.4771 642.6392 212.2528 906.8125 471.254 722.2625 1691.1394 1005.6114 284.6912 415.6811 1640.944 331.8984 534.9434 968.036 454.1256 803.8271 457.0598 1108.3315 610.6278 976.4941 1459.1794 731.455 1340.9338 1485.5242 1623.7889 692.0515 1077.166 1001.5303 958.2755 1211.5749 877.6111 1842.9976 828.8754 1243.141 1058.034 1143.9657 2619.8603 1422.0875 2036.7704 1095.1018 974.893 919.081 3956.0427 950.2623 2435.7192 977.4641 1313.7909 1761.5061 1223.8216 1521.3024 1778.5295 1261.0062 1138.814 2242.1158 1222.6387 4306.5651 1254.8894 1330.9379 1264.5024 1287.9108 1470.8163 2753.1002 2569.4808 1700.6131 1336.4079 1471.5691 1614.7538 1401.6927 1382.5246 1390.4864 3960.702 1461.4079 1508.1535 2949.7998 1759.0798 1633.2915 1867.0468 3435.3866 1719.7257 1762.3457 1908.7565 2030.3199 1888.8696 1956.3907 3880.4719 2158.6353 2088.2969 2315.4473 3561.262 2288.6616 2352.7748 2453.9999
南昌 992.7817 1049.1712 1170.1041 757.2477 727.2656 706.1966 993.1979 712.4163 669.6598 598.3366 1399.064 1843.416 801.8747 516.9874 485.3201 1358.396 417.5934 678.8472 1583.18 429.0697 329.9857 446.7524 865.4928 321.3309 1411.6225 1110.7458 936.3714 379.9514 587.7327 228.7908 881.2595 1333.9437 479.8686 289.8259 127.1682 544.356 0.0 1093.8672 407.0081 371.6938 2618.738 144.2015 276.0175 909.4574 2401.2533 115.3413 267.0635 573.8715 186.7494 455.8667 392.7365 236.1793 260.4666 1159.5101 494.7874 610.2484 386.4814 1119.0828 529.9867 373.1386 515.6156 469.8776 421.5317 534.5334 653.4602 493.6043 575.0657 974.2083 629.5052 908.6588 1032.059 1161.0351 731.0031 735.0528 707.4081 696.1306 841.4136 751.5367 1394.5906 924.6347 918.9942 836.5482 874.7592 2136.0543 1062.1569 1583.9039 892.6197 894.0648 944.6559 3461.5836 1128.0936 1971.8623 1106.05 1067.0494 1378.1259 1048.3354 1209.2732 1407.4082 1133.7455 1254.847 1819.392 1164.1585 3828.1973 1236.0988 1248.699 1298.0451 1479.3904 1289.1169 2315.7083 2146.2078 1440.518 1454.3014 1347.3229 1402.9077 1377.7241 1461.6063 1526.1779 3499.6339 1603.0763 1713.1843 2543.0802 2022.3912 1781.1244 1699.6708 3017.2857 1882.1893 1695.9505 2143.9841 2275.7078 1980.7804 2120.7155 3481.5282 2374.0032 2189.9965 2550.1831 3193.7051 2306.7207 2329.9089 2592.1861
宜宾 1011.5915 925.5137 770.8255 1151.9787 1193.1662 1169.0963 757.7021 1006.3016 1064.0964 1343.3456 617.3217 835.8315 684.4254 1417.8876 991.1082 466.5829 1293.1989 675.0116 560.1077 890.9817 1067.0268 1476.5113 396.6536 1311.0268 375.3854 240.9235 304.8168 806.6754 541.5671 912.1615 251.3775 251.8401 1572.4923 813.0948 1215.3477 1637.1798 1093.8672 0.0 687.982 1460.5361 1531.6266 1220.3016 827.8892 206.1951 1316.3988 1107.1001 1332.9935 1649.6873 1019.2602 1514.9401 757.2452 1215.9525 955.1921 218.3381 677.342 1642.5507 1357.4687 302.4933 1536.2884 1255.3623 803.6578 1405.8266 981.1523 1469.5052 729.9279 1301.5938 888.0736 531.3052 1342.2615 743.0814 670.651 656.4485 1523.3758 985.3963 1079.0772 1134.0532 921.157 1346.0507 816.4239 1683.9192 1040.1448 1225.7513 1147.5602 1245.0262 982.5669 915.0388 1273.8278 1459.178 1618.305 2478.2223 1905.9131 1173.4632 1836.8446 1251.4018 1039.4324 1379.1458 1160.923 1093.0112 1502.9517 1926.9339 1195.9623 1629.4458 2878.2792 1732.4948 1641.8122 1848.5559 2192.062 1487.6786 1560.293 1458.1447 1406.4183 2077.4934 1629.3703 1491.6549 1817.1897 2029.7097 2157.1206 2602.2478 2226.2777 2402.3368 1854.3559 2749.7769 2380.1038 1779.1739 2257.1232 2485.8254 1970.7766 2818.7135 2951.7163 2461.6181 2693.2467 2744.6721 2995.4082 2654.5628 3185.1487 2554.1213 2611.9532 2557.2926 3068.2402
常德 873.3775 878.6625 916.3253 781.5529 786.0795 759.3338 766.5505 669.3013 674.3107 803.4378 1059.4278 1462.9058 569.1954 811.2595 505.6451 991.2969 686.4979 446.8165 1195.4645 384.8865 477.7096 818.1653 514.1506 661.1147 1018.3694 727.9915 564.343 252.8462 232.5096 263.2201 488.5127 931.2856 886.7953 150.2065 530.9641 949.2518 407.0081 687.982 0.0 772.673 2211.9032 532.8254 143.5849 502.871 1994.5769 423.4866 647.9099 964.7474 348.1007 833.4007 152.275 543.4819 304.9877 757.5265 188.7816 970.5855 696.2563 726.6873 870.7528 614.2207 333.8137 758.6268 415.5576 826.0953 409.4408 693.6374 447.4021 632.7851 781.3653 645.5774 727.3761 835.8197 942.092 625.6372 661.3573 687.2227 670.3679 845.2595 1074.0632 1128.1048 785.2653 825.5171 808.3026 1766.9989 865.6065 1252.284 885.6842 986.6819 1101.3597 3078.3788 1350.8961 1621.9011 1302.6922 986.1678 1126.7121 1035.0716 1045.5063 1166.5982 1147.5693 1427.1659 1510.2069 1227.4252 3455.034 1319.4612 1283.0418 1411.4284 1679.8822 1237.4206 1983.8482 1829.2541 1304.2759 1609.9464 1337.2583 1313.3009 1441.96 1590.8761 1688.0419 3139.897 1763.633 1908.2176 2233.8942 2241.5214 1935.2967 1624.8102 2693.4552 2041.0377 1702.0831 2340.6634 2475.0104 2086.6265 2270.6469 3168.7712 2550.2137 2293.7654 2734.8972 2908.188 2345.5555 2337.3551 2708.5382
金华 1275.0583 1353.5192 1506.0631 979.6445 930.5736 917.3007 1324.2963 982.1049 918.821 702.6158 1761.5824 2214.2763 1143.7467 534.4364 764.7118 1727.6758 516.3386 1027.3937 1954.8201 751.4706 589.4175 336.4899 1234.409 370.8213 1783.1996 1482.3186 1307.4202 736.5016 959.1255 589.3567 1252.5867 1703.2935 158.7876 661.4668 267.7241 180.1661 371.6938 1460.5361 772.673 0.0 2977.9819 240.7469 633.4591 1270.5807 2759.7377 360.4864 145.5046 209.5154 462.599 140.9092 726.7 297.4011 542.6361 1511.3169 825.4483 296.2727 278.3167 1460.7779 275.386 382.9288 791.0704 341.224 632.0438 368.7916 932.0748 478.236 805.4637 1281.0563 612.9397 1168.8864 1311.1601 1448.5971 615.1742 917.1239 849.0351 811.1795 1048.435 760.3437 1670.418 780.2965 1089.0579 922.7903 999.7919 2443.1812 1262.9394 1863.9206 965.3797 874.2316 849.6982 3778.4978 937.5526 2261.7552 946.7186 1177.7145 1600.0596 1103.8522 1372.9162 1619.5866 1154.8207 1107.863 2074.8405 1135.6326 4131.4429 1180.8625 1239.0494 1207.66 1288.1456 1353.3796 2584.0083 2402.7433 1565.8611 1310.1292 1369.8784 1491.226 1328.8294 1343.3504 1371.5291 3788.3316 1445.6803 1516.7072 2786.9387 1792.8165 1621.9768 1757.8275 3270.8129 1714.6685 1681.2753 1932.655 2058.9627 1860.3575 1954.1116 3720.3708 2176.6291 2064.7987 2341.6263 3407.7927 2238.505 2289.9261 2445.5492
日喀则 2330.2594 2205.248 1958.6564 2585.3572 2640.1146 2620.4398 2070.8171 2447.0621 2520.1682 2839.9392 1565.2382 1077.9593 2108.2089 2937.0532 2492.1968 1465.1132 2814.893 2150.4744 1191.0281 2405.9107 2590.2404 3007.5746 1861.3554 2841.5781 1294.827 1592.8399 1764.8469 2334.3302 2070.3923 2443.7818 1769.5132 1313.8576 3098.6066 2343.4796 2742.6788 3157.1522 2618.738 1531.6266 2211.9032 2977.9819 0.0 2737.4628 2346.108 1709.3137 218.8567 2618.5179 2843.1332 3155.663 2521.629 3015.9129 2254.3627 2712.1963 2448.0267 1469.3696 2159.8347 3125.9802 2836.8527 1533.1555 3014.0755 2721.2132 2238.9574 2868.5709 2424.8836 2924.9609 2118.7022 2735.5867 2282.8955 1773.507 2731.1536 1973.0364 1820.87 1692.8612 2911.4626 2295.3884 2403.3423 2466.5512 2173.4928 2680.7771 1586.7651 3028.7264 2243.3491 2495.9892 2386.243 973.5745 2082.3473 1452.1295 2520.3675 2747.2452 2928.2108 1205.8066 3228.1128 1195.0127 3140.3795 2382.9057 1860.5892 2553.4608 2165.4447 1895.9764 2657.4998 3177.8659 1509.7725 2809.1424 1636.3705 2905.592 2767.825 3031.6598 3430.6947 2523.3964 1318.0411 1432.7156 2281.6751 3267.9807 2676.3816 2435.1525 2927.346 3187.9865 3339.9861 1536.1847 3391.9607 3594.76 1561.2519 3934.1207 3501.9724 2593.8436 1621.9025 3595.7307 2903.1741 3948.822 4068.6758 3467.204 3745.9204 2010.0998 4055.9181 3612.0294 4238.4034 2067.1318 3419.292 3294.8483 3975.2371
景德镇 1122.6701 1185.0387 1312.6023 866.4653 829.4144 810.7327 1134.681 836.6341 786.7027 660.1957 1542.7087 1982.7985 944.8144 540.2427 609.5782 1499.6266 467.3154 822.481 1720.5128 566.1187 442.1696 412.5487 1007.3225 337.7627 1546.9244 1248.7383 1075.9474 523.9652 727.0582 372.8583 1015.8685 1464.017 371.8647 429.2144 112.8245 419.7553 144.2015 1220.3016 532.8254 240.7469 2737.4628 0.0 392.8015 1029.8339 2519.2896 124.2557 122.922 434.403 231.0656 312.1299 488.6469 140.5909 313.9574 1271.5914 588.8192 466.1281 260.5698 1223.2353 388.686 283.605 571.9105 346.7825 435.661 407.0529 713.7898 406.3785 605.6963 1054.3746 549.4181 960.7908 1095.7834 1230.2893 623.1402 743.5079 695.5861 671.7351 864.2946 685.0207 1458.0247 813.1934 924.6678 803.0283 858.8864 2218.8265 1084.4096 1650.2284 854.6045 820.6882 847.6381 3551.0218 1007.3885 2044.491 993.0168 1047.7483 1413.1024 1005.9279 1215.1051 1437.6966 1079.1653 1146.5742 1873.083 1092.0031 3909.8266 1155.6702 1184.1605 1206.8768 1360.8921 1252.9972 2377.0914 2201.1623 1431.0212 1348.2909 1295.5734 1377.5176 1300.7569 1363.1956 1417.6554 3573.0282 1494.1979 1594.3821 2592.2352 1896.3895 1672.5599 1664.1027 3071.8864 1771.6794 1633.0777 2022.6696 2153.3131 1884.3032 2011.2053 3529.2609 2256.7422 2092.7609 2430.329 3229.2548 2227.9648 2260.7955 2489.5273
岳阳 941.6136 964.1646 1028.8455 797.2602 789.735 764.0645 868.591 704.8547 692.9082 756.0266 1195.8094 1606.2082 668.9325 732.158 508.1014 1132.7427 612.7239 541.9056 1339.037 399.3895 430.7426 708.8859 650.474 561.6951 1161.8763 871.1024 705.5825 280.1037 365.004 206.2242 632.0835 1073.1231 753.9508 127.0148 402.8929 811.5663 276.0175 827.8892 143.5849 633.4591 2346.108 392.8015 0.0 637.4001 2128.2168 280.3838 505.5946 822.5042 206.6564 690.1768 134.9181 400.38 177.2266 883.9196 230.7682 827.0893 554.542 843.3562 727.8984 478.3359 310.1047 619.5458 323.5269 687.4023 426.0599 566.5563 407.6762 712.4068 666.7393 680.5055 786.203 907.3837 817.8816 588.4216 601.1513 615.0534 661.2681 746.9707 1144.5021 1007.7326 763.3554 758.6878 760.6208 1867.5435 872.552 1329.6627 819.0308 891.731 991.448 3188.88 1228.2053 1710.6554 1185.4012 947.8437 1162.2509 973.6008 1041.0145 1197.4788 1078.9484 1316.5528 1576.4041 1144.5197 3559.0034 1231.682 1209.6232 1316.0357 1563.9813 1192.1837 2063.0755 1900.3241 1291.5327 1504.7106 1278.8023 1282.7044 1360.9708 1492.4815 1581.6481 3235.6446 1657.957 1794.5583 2301.754 2123.1497 1832.0476 1591.4129 2769.3442 1936.9729 1641.286 2227.9004 2361.9129 1997.2629 2169.7084 3239.5015 2443.0972 2205.748 2625.981 2965.5096 2277.3106 2279.1591 2618.0661
重庆 997.9145 934.6916 830.9685 1075.9516 1107.8482 1082.1075 771.1459 932.9804 978.5002 1221.3579 767.4881 1039.2355 647.7997 1274.1968 874.4737 636.9755 1147.9514 600.4245 763.2897 762.9295 923.1196 1311.8067 379.1372 1149.2922 578.1841 370.8717 323.6923 660.2072 403.0804 745.4885 206.8502 457.6672 1389.3189 639.3563 1033.8351 1448.9637 909.4574 206.1951 502.871 1270.5807 1709.3137 1029.8339 637.4001 0.0 1491.8025 913.2957 1139.1605 1454.8607 821.4982 1318.2051 556.474 1017.0468 754.3708 267.5938 472.8572 1441.9613 1155.4592 277.8457 1334.4944 1051.2561 597.6851 1201.7904 775.0307 1264.9456 529.3643 1095.5984 684.2713 392.8622 1136.5755 577.3461 537.7186 563.5481 1317.4249 790.6096 880.5072 933.7665 738.5387 1143.5753 766.1092 1479.2576 861.637 1031.5124 959.4739 1323.1303 828.2292 901.8037 1081.806 1259.923 1416.0617 2602.2772 1701.7711 1215.7284 1634.0196 1077.3127 941.7651 1194.8604 1014.2356 993.4677 1318.7749 1727.5119 1182.5116 1439.9627 2991.1671 1542.3978 1458.7875 1656.063 1992.2247 1321.1697 1597.4728 1472.4025 1269.8275 1882.3234 1457.3416 1339.711 1633.3122 1838.0299 1962.0854 2695.8662 2032.3294 2205.0636 1876.8928 2551.6339 2189.1548 1637.2874 2305.4746 2295.2615 1807.0359 2624.4899 2757.9638 2281.8814 2506.7011 2790.59 2806.2712 2478.161 2995.685 2572.264 2453.417 2408.2508 2893.5997
拉萨 2141.1199 2018.2511 1775.1868 2385.9063 2439.2818 2418.9739 1878.5505 2245.9927 2317.6718 2632.8894 1386.4282 925.6696 1906.4033 2726.0471 2283.7156 1275.1023 2603.2263 1943.8885 1004.6819 2195.095 2378.0483 2792.8736 1653.6015 2627.191 1094.3671 1386.765 1556.3498 2120.8536 1856.4108 2228.2664 1556.5942 1103.7098 2881.1025 2127.1467 2525.4799 2939.0181 2401.2533 1316.3988 1994.5769 2759.7377 218.8567 2519.2896 2128.2168 1491.8025 0.0 2400.1207 2624.6049 2936.946 2303.0001 2797.1308 2035.7581 2493.406 2229.2619 1250.6152 1941.0722 2907.1505 2618.0168 1314.417 2795.2775 2502.4703 2020.2955 2649.9258 2206.2704 2706.4735 1900.537 2517.4361 2064.9809 1556.5011 2514.3404 1758.1682 1606.9139 1480.75 2695.0203 2079.9714 2187.8942 2251.0473 1959.4578 2465.9356 1384.4471 2814.4288 2031.9097 2283.2147 2174.2606 832.6237 1874.0857 1259.4191 2308.8548 2534.812 2715.3547 1328.6346 3015.4998 1036.0808 2928.5482 2176.4072 1664.1052 2346.0086 1963.6865 1701.7188 2452.0068 2969.278 1341.3693 2603.1451 1759.9443 2700.6135 2564.9887 2826.7539 3223.8574 2324.3578 1211.384 1301.3116 2090.6973 3063.7701 2478.1573 2241.5346 2726.7737 2985.636 3136.6467 1613.0225 3190.1076 3391.8128 1480.0867 3733.0407 3303.9865 2412.8593 1606.8112 3399.1651 2716.0874 3752.1807 3873.6159 3278.5945 3554.8975 2028.2653 3865.7171 3428.6452 4049.6519 2040.8972 3248.5734 3129.8479 3798.9215
 九江    1095.6008 1145.5011 1252.1965 870.5074 841.837 820.4544 1079.1574 820.13 780.8385 710.4661 1458.1307 1883.5031 883.6723 617.2497 594.243 1405.3902 525.7034 757.7349 1617.9322 527.7272 444.1133 518.6217 916.4897 416.0594 1441.7071 1148.2324 979.0585 459.4258 631.9675 312.4176 911.2244 1353.284 496.0731 340.1424 191.9145 540.5697 115.3413 1107.1001 423.4866 360.4864 2618.5179 124.2557 280.3838 913.2957 2400.1207 0.0 225.9936 542.5973 107.3494 409.9161 366.2485 136.7838 190.516 1151.0172 465.5638 550.7634 295.6784 1100.6136 457.5119 262.4192 450.0478 373.7228 326.8087 440.8011 591.6737 380.5877 491.4859 930.2762 514.7575 841.0927 973.7162 1107.4175 622.4643 640.0246 603.4578 587.875 754.4845 636.2533 1336.327 816.7363 823.3299 726.267 769.9917 2094.7847 975.4794 1528.0904 781.3913 778.7289 831.9324 3426.7737 1024.4804 1921.4669 998.3305 961.5788 1299.5542 936.4279 1114.365 1325.9818 1019.8097 1144.8732 1753.9115 1048.8367 3785.9713 1120.8857 1133.7604 1183.8077 1373.7282 1178.9898 2256.2237 2081.8025 1339.2702 1343.293 1233.9846 1295.9597 1262.3917 1348.5556 1415.9469 3450.1118 1492.8978 1607.394 2474.6436 1921.0549 1670.6865 1590.0515 2952.8627 1772.391 1581.3094 2039.2887 2171.6054 1867.0795 2010.4034 3412.324 2266.8886 2076.3702 2444.3771 3116.4557 2191.383 2214.8592 2479.6277
黄山 1233.8425 1300.6601 1433.5438 963.8546 922.1559 905.3432 1254.8156 944.7297 890.1782 727.3186 1665.5335 2103.2301 1066.2659 583.222 719.2869 1621.2524 533.2429 944.5919 1839.7255 684.0028 547.3578 416.7015 1129.3776 390.8463 1664.9301 1368.5783 1196.7919 646.5191 848.0555 495.5113 1133.938 1578.713 299.7212 550.7668 204.0031 322.7754 267.0635 1332.9935 647.9099 145.5046 2843.1332 122.922 505.5946 1139.1605 2624.6049 225.9936 0.0 316.9138 322.3667 189.5093 589.0286 152.543 400.2964 1374.648 685.9428 343.7517 181.4637 1321.051 272.554 256.474 645.8804 263.8878 487.1146 313.9123 786.7127 367.1052 660.5948 1136.499 509.2009 1023.6307 1165.6561 1303.1217 548.9434 777.0455 713.911 680.0802 906.4449 653.6103 1525.0256 731.3133 951.8961 799.371 869.3905 2297.9984 1122.5865 1718.4892 845.6841 778.9245 781.0245 3633.6595 913.2978 2116.2522 907.4707 1051.8834 1458.2402 990.1945 1238.378 1478.9119 1051.1619 1064.9425 1930.6006 1047.1691 3985.9925 1102.1062 1145.5789 1142.2493 1267.4605 1239.7758 2439.1996 2258.6106 1439.3786 1267.8044 1267.7925 1372.5962 1249.2679 1290.2854 1334.2894 3642.9083 1410.1574 1499.9141 2644.0774 1793.9512 1588.2189 1648.1651 3127.2633 1685.1201 1592.6449 1924.8119 2054.1956 1811.1455 1925.0741 3578.4234 2162.5876 2018.3167 2333.4148 3268.8328 2170.5547 2212.1713 2409.1462
宁波 1477.6726 1559.5046 1715.2946 1172.8352 1120.305 1109.0894 1533.3314 1184.5089 1118.3418 874.5448 1969.4443 2416.8212 1353.2613 692.6132 970.6057 1932.2503 699.632 1236.7288 2154.9157 960.7874 795.6765 479.0716 1439.2396 559.1884 1981.0424 1683.0852 1509.8024 944.6851 1160.935 796.3562 1449.9685 1895.6256 226.4039 862.8507 476.6685 133.4771 573.8715 1649.6873 964.7474 209.5154 3155.663 434.403 822.5042 1454.8607 2936.946 542.5973 316.9138 0.0 634.5241 142.4725 901.7611 444.5327 707.8775 1686.3465 995.9737 153.0222 347.3553 1628.5575 220.3412 472.3688 936.7804 363.5126 761.3257 351.2756 1073.2182 526.2331 929.6984 1428.7182 633.3865 1292.9505 1442.2908 1582.1905 573.3523 1011.2844 927.39 879.0555 1148.7409 776.1097 1793.8374 700.1656 1168.3533 967.0371 1059.8297 2580.3562 1352.2278 1987.6428 999.5003 862.9763 795.2264 3918.3604 816.8646 2388.4198 845.2795 1221.3291 1693.0996 1120.5718 1438.6406 1706.6986 1149.7392 1006.3766 2181.2735 1103.0753 4260.3455 1130.7347 1212.812 1135.8572 1154.7494 1364.6584 2694.5572 2507.0393 1605.1893 1203.3989 1357.1412 1511.7515 1276.7225 1250.689 1257.1056 3907.6367 1327.9472 1375.7613 2880.6714 1630.9136 1499.8332 1755.0675 3368.2522 1586.4568 1639.059 1778.7508 1901.2842 1755.7627 1823.3225 3806.5045 2027.7953 1954.9293 2186.0858 3479.54 2157.6111 2223.9611 2320.7067
黄石 1097.7755 1135.8305 1221.7427 902.081 880.5431 857.3689 1054.9268 835.3449 805.8064 778.9027 1401.9818 1810.37 856.1883 703.7182 615.9539 1339.0492 602.8535 728.6507 1541.653 531.3933 486.0717 620.7052 856.8673 506.7564 1362.8021 1075.8643 911.9196 440.0737 571.1682 309.0335 835.2228 1267.9535 602.2826 299.2046 292.1286 642.6392 186.7494 1019.2602 348.1007 462.599 2521.629 231.0656 206.6564 821.4982 2303.0001 107.3494 322.3667 634.5241 0.0 496.7451 267.3066 197.2542 83.1796 1052.6683 363.5955 625.2024 348.1998 998.8422 523.1273 275.7025 343.2065 413.3319 234.9234 481.3229 484.6216 375.5644 390.8359 823.3477 493.1793 735.1938 866.6024 1000.0931 627.0912 548.3049 523.191 516.0842 656.3264 597.1727 1229.3088 820.2458 732.2464 658.87 690.6666 1987.7662 877.3434 1420.9164 716.5284 742.7138 818.4093 3320.2956 1036.5229 1814.1214 1000.5823 883.1372 1197.4145 873.1812 1022.5864 1225.1408 964.8833 1139.453 1648.0152 1008.0447 3678.7911 1086.8067 1085.8011 1159.4391 1379.028 1109.9389 2149.4726 1975.766 1254.3371 1333.3935 1175.4808 1219.8141 1224.0315 1330.2607 1408.4121 3342.7709 1485.2557 1611.5116 2369.5182 1933.9726 1661.6452 1519.2794 2846.9296 1765.1454 1529.6037 2044.8516 2178.2359 1844.0022 2000.9971 3307.4832 2266.2139 2053.3392 2446.6645 3014.1692 2150.7742 2166.2564 2461.1811
杭州 1402.3183 1475.6898 1617.3206 1114.7618 1067.3391 1053.2296 1437.2887 1110.3095 1049.9894 843.3457 1854.8156 2291.7602 1251.3127 674.8786 888.893 1810.5494 656.0448 1131.0341 2027.3419 864.4275 714.0403 473.3008 1318.8462 510.0848 1851.5709 1556.7974 1385.7139 834.1621 1037.1392 683.5333 1320.913 1762.3352 255.7833 740.1522 376.4976 212.2528 455.8667 1514.9401 833.4007 140.9092 3015.9129 312.1299 690.1768 1318.2051 2797.1308 409.9161 189.5093 142.4725 496.7451 0.0 763.3173 303.7468 567.9238 1546.5557 856.1033 162.4133 209.446 1487.4074 138.2201 333.3015 794.3277 241.8939 619.157 249.8095 930.7919 399.3551 788.2182 1286.2462 519.4321 1151.9785 1300.6651 1440.4144 492.5633 875.0896 794.8846 749.3894 1011.5737 665.9429 1653.3429 647.3875 1036.5131 846.1531 933.6514 2438.5436 1218.1236 1847.2095 882.8583 767.1362 724.9189 3776.4643 797.8157 2247.7344 809.8758 1101.8273 1558.5816 1012.1855 1311.7285 1573.7602 1052.2155 971.4612 2044.0561 1020.6595 4119.693 1059.2708 1127.1286 1078.9652 1147.6583 1259.7302 2556.7337 2370.4743 1488.4434 1173.1196 1264.4094 1402.907 1206.9985 1209.3764 1233.2853 3768.4511 1307.0157 1375.9078 2746.8669 1652.5699 1482.8457 1658.0179 3233.6767 1574.8663 1563.9648 1791.8362 1918.3077 1724.4031 1814.1423 3675.1446 2035.7209 1927.9495 2200.8298 3352.5382 2108.7582 2164.8461 2306.4368
沙市 1023.0436 1030.767 1065.2052 910.8103 908.6144 882.3863 918.1704 807.5689 804.5692 889.3556 1187.6532 1564.287 721.2845 866.627 625.6939 1106.5522 747.602 599.0766 1292.0364 510.1893 562.8104 835.3877 646.5923 692.9086 1110.2836 835.6635 684.2737 381.5119 375.7517 337.2001 592.2881 1007.8118 859.0445 240.5197 519.1666 906.8125 392.7365 757.2452 152.275 726.7 2254.3627 488.6469 134.9181 556.474 2035.7581 366.2485 589.0286 901.7611 267.3066 763.3173 0.0 460.903 198.0226 785.6195 102.0951 885.6549 600.3149 734.5961 779.0529 502.2427 189.5118 651.7596 268.5877 717.1398 292.7921 565.7832 299.1143 582.9966 640.8561 545.9535 651.9656 774.9118 808.3965 479.6108 509.9166 534.9514 537.7409 696.3901 1011.3555 989.8937 646.417 673.6118 659.8329 1743.357 744.0335 1197.7134 733.8565 836.498 956.379 3069.5477 1213.9119 1581.5747 1161.5648 841.1081 1028.1787 884.0741 916.9741 1064.0491 995.7465 1281.7965 1442.2813 1075.2768 3435.481 1167.677 1130.908 1260.8043 1537.0954 1090.5195 1930.9576 1766.7194 1171.4704 1461.9883 1187.0962 1171.8565 1289.704 1440.809 1540.4498 3108.2856 1615.6954 1763.8294 2167.6013 2099.7456 1786.3865 1482.5725 2636.2864 1892.333 1551.6929 2195.4518 2329.894 1934.784 2120.8854 3105.5516 2402.3584 2141.7676 2587.691 2830.6098 2194.1602 2187.7332 2556.7252
安庆 1227.9098 1280.6531 1388.93 990.2871 957.1227 937.1555 1215.9063 948.5949 904.9753 799.315 1589.9725 2006.3832 1020.4374 680.3852 721.4717 1532.4747 607.1745 894.4115 1738.3463 661.5754 562.7661 542.246 1046.506 478.2064 1559.8671 1271.4201 1105.4029 596.2094 760.9432 448.7676 1031.6116 1465.0163 452.1397 474.066 252.4299 471.254 236.1793 1215.9525 543.4819 297.4011 2712.1963 140.5909 400.38 1017.0468 2493.406 136.7838 152.543 444.5327 197.2542 303.7468 460.903 0.0 264.3629 1242.8588 552.4503 427.9883 159.3368 1184.0281 327.615 144.3592 497.4803 237.2344 334.6744 304.0706 637.2149 267.5983 508.1325 989.5387 409.7435 871.5174 1014.5657 1152.5893 495.7601 627.1136 569.0915 540.0627 754.9143 544.4309 1373.178 688.8871 804.2385 667.1549 728.8213 2148.7095 972.061 1566.7603 717.2971 680.5776 714.1497 3485.259 892.1677 1965.0295 870.1637 915.2507 1306.6236 867.2583 1092.6004 1327.9968 938.8386 1020.0761 1778.0595 951.9727 3835.4526 1017.0294 1043.6235 1071.3982 1243.2163 1115.1399 2286.7356 2106.0754 1300.8294 1220.3734 1155.3523 1242.1056 1161.5466 1230.9626 1291.4798 3491.1222 1368.3074 1477.0094 2491.8643 1787.3804 1546.5099 1525.8904 2974.8224 1647.0707 1492.546 1907.9331 2039.7788 1751.4294 1885.9176 3426.5764 2137.874 1960.3108 2314.0168 3118.7285 2089.4583 2120.7878 2359.97
